id, orderId, tokenId, type, endsAt, cancelled, category, highestBidder, highestBid,  claimed, totalBids, totalBidsVolume, platformFees, gbmFees, royaltyFees, sellerProceeds
7061,1953,351,erc1155,1677390282,false,8,0x7f433b38dd933cea19506d1fc26369b326d55cec,7.0,true,2,11.0,0.21,0.07,0.0,6.52 
9824,4716,356,erc1155,1677390354,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,3.25,true,5,9.75,0.0975,0.0325,0.0,2.8662000002 
9816,4708,356,erc1155,1677390373,false,8,0x3621fd0db8dabc21d522851de01114cf82b7c21f,5.0,true,2,6.0,0.15,0.05,0.0,4.75 
6506,1398,350,erc1155,1677390471,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
5892,784,350,erc1155,1677390778,false,8,0xdc12a60d22d556ced025ad468536f457dfdc8797,6.0,true,2,7.5,0.18,0.06,0.0,5.685 
6516,1408,350,erc1155,1677390809,false,8,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,1.05,true,2,2.05,0.0315,0.0105,0.0,0.958 
6360,1252,350,erc1155,1677390825,false,8,0xb9d8286cb05c873aeb564cd5fe1338a38fb3bb39,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
7062,1954,351,erc1155,1677390835,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,11.0,false,3,23.0,0.33,0.11,0.0,10.1590333338 
10041,4933,355,erc1155,1677390884,false,8,0x85a52fd3d09b24912b0380e0ed9380bb81ba91f0,31.5,true,2,61.5,0.945,0.315,0.0,28.74 
6992,1884,351,erc1155,1677390974,false,8,0x7f433b38dd933cea19506d1fc26369b326d55cec,7.0,true,2,12.0,0.21,0.07,0.0,6.47 
6288,1180,350,erc1155,1677391007,false,8,0xb9d8286cb05c873aeb564cd5fe1338a38fb3bb39,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
7054,1946,351,erc1155,1677391039,false,8,0x7f433b38dd933cea19506d1fc26369b326d55cec,7.0,true,2,12.0,0.21,0.07,0.0,6.47 
6780,1672,350,erc1155,1677391052,false,8,0xdc12a60d22d556ced025ad468536f457dfdc8797,2.0,true,2,3.0,0.06,0.02,0.0,1.87 
9832,4724,356,erc1155,1677391224,false,8,0x4edb4161d16c89b71aec027930a943c3d4cf0777,3.7,true,2,4.2,0.111,0.037,0.0,3.527 
6573,1465,350,erc1155,1677391266,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,1.5,true,1,1.5,0.045,0.015,0.0,1.44 
6737,1629,350,erc1155,1677391524,false,8,0x221fb400c8e70472f95ad3df5456a57a21b54bf3,3.0,true,2,4.5,0.09,0.03,0.0,2.805 
9900,4792,356,erc1155,1677391708,false,8,0x3621fd0db8dabc21d522851de01114cf82b7c21f,5.0,true,2,6.0,0.15,0.05,0.0,4.75 
6222,1114,350,erc1155,1677391731,false,8,0x211ee215fd860da243d6534f488a46c55db89381,2.5,true,2,3.5,0.075,0.025,0.0,2.35 
10010,4902,355,erc1155,1677391782,false,8,0x7909759b82eb27ab3cc886c5f3fce3a72a565b39,30.0,true,1,30.0,0.9,0.3,0.0,28.8 
9813,4705,356,erc1155,1677391787,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,3.0,true,4,8.1,0.09,0.03,0.0,2.7195666668 
9887,4779,356,erc1155,1677391813,false,8,0x8e4bdd156e4dd802dd919f4fd2645681ce99a538,3.2550000000000003,true,3,8.3550000000000003,0.097650000000000006,0.032550000000000002,0.0,2.935933333540000292 
6275,1167,350,erc1155,1677391834,false,8,0xf48b4c067b4816dbc0a65333e9e81ca6d8a17002,2.0,true,2,3.0,0.06,0.02,0.0,1.87 
5990,882,350,erc1155,1677391888,false,8,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,1.05,true,2,2.05,0.0315,0.0105,0.0,0.958 
6303,1195,350,erc1155,1677391891,false,8,0x9decc84cc0b18e9c294aefd2e4c59e8978fd838c,1.1025,true,3,3.1525,0.033075,0.011025,0.0,1.00315 
6955,1847,351,erc1155,1677391903,false,8,0x7f433b38dd933cea19506d1fc26369b326d55cec,7.0,true,2,10.5,0.21,0.07,0.0,6.545 
5771,663,350,erc1155,1677391904,false,8,0xa7f1c77998bae58614be010ad2a806639e280056,3.0,false,2,4.0,0.09,0.03,0.0,2.83 
10102,4994,355,erc1155,1677391936,false,8,0x7909759b82eb27ab3cc886c5f3fce3a72a565b39,30.0,true,1,30.0,0.9,0.3,0.0,28.8 
6864,1756,350,erc1155,1677391949,false,8,0xdc12a60d22d556ced025ad468536f457dfdc8797,3.0,true,2,4.5,0.09,0.03,0.0,2.805 
9980,4872,356,erc1155,1677392127,false,8,0x211ee215fd860da243d6534f488a46c55db89381,3.5,true,3,8.6,0.105,0.035,0.0,3.17113333354 
9990,4882,356,erc1155,1677392147,false,8,0x211ee215fd860da243d6534f488a46c55db89381,2.5,true,3,6.6,0.075,0.025,0.0,2.2895 
6223,1115,350,erc1155,1677392207,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,1.5,true,1,1.5,0.045,0.015,0.0,1.44 
6240,1132,350,erc1155,1677392288,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
6080,972,350,erc1155,1677392303,false,8,0x211ee215fd860da243d6534f488a46c55db89381,1.4,true,4,4.57,0.042,0.014,0.0,1.282266444544 
6307,1199,350,erc1155,1677392441,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
7039,1931,351,erc1155,1677392560,false,8,0x7d9fb540504d8f277099472b89113485f712c546,10.0,true,4,22.0,0.3,0.1,0.0,9.3040222226 
6724,1616,350,erc1155,1677392765,false,8,0x07a009e9e98649bff954cf3032ceb3e21e020f49,2.0,true,2,3.0,0.06,0.02,0.0,1.87 
5748,640,350,erc1155,1677392766,false,8,0x701b01cd2317ec4f806ea9f48f258ddfb53d1905,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
6282,1174,350,erc1155,1677392768,false,8,0xf48b4c067b4816dbc0a65333e9e81ca6d8a17002,2.2,true,2,3.3,0.066,0.022,0.0,2.057 
6341,1233,350,erc1155,1677392806,false,8,0x701b01cd2317ec4f806ea9f48f258ddfb53d1905,2.0,true,2,3.0,0.06,0.02,0.0,1.87 
9831,4723,356,erc1155,1677392824,false,8,0x816e4e35001b150a24fe2818859f5e4064bbf995,3.0,true,2,4.5,0.09,0.03,0.0,2.805 
9829,4721,356,erc1155,1677392903,false,8,0x941a95e58a293f1d8b5b43dfbde07569ca96bd90,6.0,false,1,6.0,0.18,0.06,0.0,5.76 
9821,4713,356,erc1155,1677393143,false,8,0x072b96cf92aa03f453ccfb114a166d11f88a3414,6.0,true,3,10.5,0.18,0.06,0.0,5.5351000002 
6571,1463,350,erc1155,1677393152,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,1.12,true,3,3.17,0.0336,0.0112,0.0,1.01995 
9882,4774,356,erc1155,1677393200,false,8,0x180f207f8747a966ec94277a69610162d7fa3ff1,3.2,true,1,3.2,0.096,0.032,0.0,3.072 
